Kode,Sektor,Sub Sektor
LMAX,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
JSPT,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
SKRN,Perindustrian,Perindustrian
CYBR,Teknologi,Teknologi
FAST,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
NTBK,Perindustrian,Perindustrian
FPNI,Barang Baku,Barang Baku
PGJO,Teknologi,Teknologi
TALF,Barang Baku,Barang Baku
HMSP,Barang Konsumen Primer,Barang Konsumen Primer
SURI,Kesehatan,Kesehatan
DNAR,Keuangan,Keuangan
BABP,Keuangan,Keuangan
PACK,Barang Baku,Tambang Nikel
CTTH,Perindustrian,Bahan bangunan
NATO,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
NPGF,Barang Baku,Barang Baku
SOHO,Kesehatan,Kesehatan
TRIO,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
PRAY,Kesehatan,Kesehatan
MDLA,Kesehatan,Kesehatan
TLKM,Infrastruktur,Telekomunikasi
APII,Perindustrian,Perindustrian
TAXI,Transportasi & Logistik,Transportasi & Logistik
RUIS,Energi,Energi
SAMF,Barang Baku,Barang Baku
BMSR,Barang Baku,Barang Baku
TCID,Barang Konsumen Primer,Barang Konsumen Primer
BNBR,Perindustrian,Konstruksi
ESSA,Barang Baku,Pengolahan Gas & Minyak
ALMI,Barang Baku,Barang Baku
DNET,Keuangan,Keuangan
MINA,Barang Konsumen Non-Primer,Akomodasi Villa & Hotel
MEDC,Energi,Energi
IPPE,Barang Konsumen Primer,Barang Konsumen Primer
BBHI,Keuangan,Keuangan
PALM,Keuangan,Keuangan
ABMM,Energi,Energi
BAPA,Properti & Real Estat,Properti & Real Estat
ELTY,Properti & Real Estat,Properti & Real Estat
DILD,Properti & Real Estat,Properti
UDNG,Barang Konsumen Primer,Barang Konsumen Primer
BOLT,Barang Konsumen Non-Primer,Barang Konsumen Non-Primer
RISE,Properti & Real Estat,Properti
PNBS,Keuangan,Keuangan
PSSI,Energi,Energi
LMSH,Barang Baku,Barang Baku
ISEA,Barang Konsumen Primer,Pengolahan ikan
IKBI,Perindustrian,Perindustrian
BUKK,Infrastruktur,Konstruksi
FORZ,Properti & Real Estat,Properti & Real Estat
ICBP,Barang Konsumen Primer,Barang Konsumen Primer
